Category,City,Country,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Segment,Ship Date,Ship Mode,Ship Status,State,Sub-Category,2013 sales,Days to Ship Actual,Days to Ship Scheduled,Discount,Número de registros,Profit,Profit per Customer,Profit per Order,Profit Ratio,Quantity,Row ID,Sales,Sales estimate,Sales Forecast,Sales per Customer,Units estimate
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,1/6/2013,CA-2011-167199,42420,OFF-FA-10001883,"Alliance Super-Size Bands, Assorted Sizes",South,Home Office,1/10/2013,Standard Class,Shipped Early,Kentucky,Fasteners,$0.0K,4,6,0.00%,1,$0 ,$0.31 ,$0.31 ,1.00%,4,7480,$31 ,$0.0K,$47 ,$31.12 ,6
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,1/6/2013,CA-2011-167199,42420,OFF-PA-10000955,Southworth 25% Cotton Granite Paper & Envelopes,South,Home Office,1/10/2013,Standard Class,Shipped Early,Kentucky,Paper,$0.0K,4,6,0.00%,1,$3 ,$3.01 ,$3.01 ,46.00%,1,7481,$7 ,$0.0K,$10 ,$6.54 ,1
Technology,Henderson,United States,ME-17320,Maria Etezadi,1/6/2013,CA-2011-167199,42420,TEC-PH-10004977,GE 30524EE4,South,Home Office,1/10/2013,Standard Class,Shipped Early,Kentucky,Phones,$0.4K,4,6,0.00%,1,$114 ,$113.67 ,$113.67 ,29.00%,2,7478,$392 ,$0.6K,$587 ,$391.98 ,3
Technology,Henderson,United States,ME-17320,Maria Etezadi,1/6/2013,CA-2011-167199,42420,TEC-PH-10004539,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,Home Office,1/10/2013,Standard Class,Shipped Early,Kentucky,Phones,$0.8K,4,6,0.00%,1,$204 ,$204.11 ,$204.11 ,27.00%,4,7479,$756 ,$1.1K,"$1,132 ",$755.96 ,6
Furniture,Huntsville,United States,VS-21820,Vivek Sundaresam,1/7/2013,CA-2011-105417,77340,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,Consumer,1/12/2013,Standard Class,Shipped Early,Texas,Furnishings,$0.1K,5,6,60.00%,1,($54),($53.71),($53.71),-70.00%,3,7661,$77 ,$0.1K,$115 ,$76.73 ,4
Office Supplies,Huntsville,United States,VS-21820,Vivek Sundaresam,1/7/2013,CA-2011-105417,77340,OFF-BI-10003708,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,Consumer,1/12/2013,Standard Class,Shipped Early,Texas,Binders,$0.0K,5,6,80.00%,1,($18),($18.25),($18.25),-175.00%,7,7662,$10 ,$0.0K,$16 ,$10.43 ,10
Office Supplies,Laredo,United States,MS-17830,Melanie Seite,1/9/2013,CA-2011-135405,78041,OFF-AR-10004078,Newell 312,Central,Consumer,1/13/2013,Standard Class,Shipped Early,Texas,Art,$0.0K,4,6,20.00%,1,$1 ,$1.17 ,$1.17 ,12.50%,2,593,$9 ,$0.0K,$14 ,$9.34 ,3
Technology,Laredo,United States,MS-17830,Melanie Seite,1/9/2013,CA-2011-135405,78041,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Central,Consumer,1/13/2013,Standard Class,Shipped Early,Texas,Accessories,$0.0K,4,6,20.00%,1,$10 ,$9.75 ,$9.75 ,31.30%,3,594,$31 ,$0.0K,$47 ,$31.20 ,4
Furniture,Springfield,United States,AJ-10780,Anthony Jacobs,1/10/2013,CA-2011-149020,22153,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,Corporate,1/15/2013,Standard Class,Shipped Early,Virginia,Furnishings,$0.1K,5,6,0.00%,1,$21 ,$21.30 ,$21.30 ,41.00%,1,867,$52 ,$0.1K,$78 ,$51.94 ,1
Office Supplies,Springfield,United States,AJ-10780,Anthony Jacobs,1/10/2013,CA-2011-149020,22153,OFF-LA-10004272,Avery 482,South,Corporate,1/15/2013,Standard Class,Shipped Early,Virginia,Labels,$0.0K,5,6,0.00%,1,$1 ,$1.36 ,$1.36 ,47.00%,1,866,$3 ,$0.0K,$4 ,$2.89 ,1
Furniture,Dover,United States,SV-20365,Seth Vernon,1/11/2013,CA-2011-130092,19901,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",East,Consumer,1/14/2013,First Class,Shipped Late,Delaware,Furnishings,$0.0K,3,1,0.00%,1,$3 ,$3.08 ,$3.08 ,31.00%,2,717,$10 ,$0.0K,$15 ,$9.94 ,3
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,1/13/2013,CA-2011-162775,71111,OFF-BI-10004187,3-ring staple pack,South,Corporate,1/15/2013,Second Class,Shipped Early,Louisiana,Binders,$0.0K,2,3,0.00%,1,$3 ,$2.71 ,$2.71 ,48.00%,3,767,$6 ,$0.0K,$8 ,$5.64 ,4
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,1/13/2013,CA-2011-162775,71111,OFF-EN-10001532,Brown Kraft Recycled Envelopes,South,Corporate,1/15/2013,Second Class,Shipped Early,Louisiana,Envelopes,$0.1K,2,3,0.00%,1,$25 ,$25.47 ,$25.47 ,50.00%,3,765,$51 ,$0.1K,$76 ,$50.94 ,4
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,1/13/2013,CA-2011-162775,71111,OFF-EN-10001990,Staple envelope,South,Corporate,1/15/2013,Second Class,Shipped Early,Louisiana,Envelopes,$0.0K,2,3,0.00%,1,$5 ,$5.34 ,$5.34 ,47.00%,2,764,$11 ,$0.0K,$17 ,$11.36 ,3
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,1/13/2013,CA-2011-162775,71111,OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,South,Corporate,1/15/2013,Second Class,Shipped Early,Louisiana,Storage,$0.6K,2,3,0.00%,1,$34 ,$34.35 ,$34.35 ,6.00%,6,768,$573 ,$0.9K,$857 ,$572.58 ,9
Technology,Bossier City,United States,CS-12250,Chris Selesnick,1/13/2013,CA-2011-162775,71111,TEC-AC-10003174,Plantronics S12 Corded Telephone Headset System,South,Corporate,1/15/2013,Second Class,Shipped Early,Louisiana,Accessories,$0.6K,2,3,0.00%,1,$259 ,$258.70 ,$258.70 ,40.00%,6,766,$647 ,$1.0K,$969 ,$646.74 ,9
Furniture,Mount Pleasant,United States,ND-18370,Natalie DeCherney,1/13/2013,CA-2011-109232,29464,FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,South,Consumer,1/16/2013,Second Class,Shipped On Time,South Carolina,Chairs,$0.5K,3,3,0.00%,1,$87 ,$87.35 ,$87.35 ,16.00%,6,2979,$546 ,$0.8K,$818 ,$545.94 ,9
Furniture,San Francisco,United States,BD-11605,Brian Dahlen,1/13/2013,CA-2011-157147,94109,FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",West,Consumer,1/18/2013,Standard Class,Shipped Early,California,Bookcases,$0.3K,5,6,15.00%,1,$4 ,$3.93 ,$3.93 ,1.20%,3,4939,$334 ,$0.5K,$500 ,$334.00 ,4
Office Supplies,Newark,United States,MM-17920,Michael Moore,1/13/2013,CA-2011-118192,43055,OFF-BI-10003476,Avery Metallic Poly Binders,East,Consumer,1/18/2013,Standard Class,Shipped Early,Ohio,Binders,$0.0K,5,6,70.00%,1,($3),($2.52),($2.52),-73.30%,2,9630,$3 ,$0.0K,$5 ,$3.44 ,3
Office Supplies,Newark,United States,MM-17920,Michael Moore,1/13/2013,CA-2011-118192,43055,OFF-PA-10002947,Xerox 1923,East,Consumer,1/18/2013,Standard Class,Shipped Early,Ohio,Paper,$0.0K,5,6,20.00%,1,$13 ,$13.09 ,$13.09 ,35.00%,7,9629,$37 ,$0.1K,$56 ,$37.41 ,10
Office Supplies,San Francisco,United States,BD-11605,Brian Dahlen,1/13/2013,CA-2011-157147,94109,OFF-AR-10003514,4009 Highlighters by Sanford,West,Consumer,1/18/2013,Standard Class,Shipped Early,California,Art,$0.0K,5,6,0.00%,1,$7 ,$6.57 ,$6.57 ,33.00%,5,4940,$20 ,$0.0K,$30 ,$19.90 ,7
Office Supplies,San Francisco,United States,BD-11605,Brian Dahlen,1/13/2013,CA-2011-157147,94109,OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,West,Consumer,1/18/2013,Standard Class,Shipped Early,California,Storage,$1.3K,5,6,0.00%,1,$239 ,$238.65 ,$238.65 ,18.00%,5,4938,"$1,326 ",$2.0K,"$1,986 ","$1,325.85 ",7
Furniture,Philadelphia,United States,BS-11590,Brendan Sweed,1/14/2013,CA-2011-149524,19140,FUR-BO-10003433,Sauder Cornerstone Collection Library,East,Corporate,1/15/2013,First Class,Shipped On Time,Pennsylvania,Bookcases,$0.1K,1,1,50.00%,1,($53),($53.29),($53.29),-86.00%,4,6475,$62 ,$0.1K,$93 ,$61.96 ,6
Technology,Roswell,United States,EH-13990,Erica Hackney,1/15/2013,CA-2011-103366,30076,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,South,Consumer,1/17/2013,First Class,Shipped Late,Georgia,Accessories,$0.1K,2,1,0.00%,1,$66 ,$65.98 ,$65.98 ,44.00%,5,1914,$150 ,$0.2K,$225 ,$149.95 ,7
Furniture,Philadelphia,United States,DL-13315,Delfina Latchford,1/16/2013,CA-2011-115791,19134,FUR-FU-10001095,DAX Black Cherry Wood-Tone Poster Frame,East,Consumer,1/18/2013,Second Class,Shipped Early,Pennsylvania,Furnishings,$0.1K,2,3,20.00%,1,$29 ,$28.60 ,$28.60 ,22.50%,6,971,$127 ,$0.2K,$190 ,$127.10 ,9
Office Supplies,Philadelphia,United States,DL-13315,Delfina Latchford,1/16/2013,CA-2011-115791,19134,OFF-BI-10001575,GBC Linen Binding Covers,East,Consumer,1/18/2013,Second Class,Shipped Early,Pennsylvania,Binders,$0.0K,2,3,70.00%,1,($14),($13.63),($13.63),-73.30%,2,973,$19 ,$0.0K,$28 ,$18.59 ,3
Office Supplies,Philadelphia,United States,DL-13315,Delfina Latchford,1/16/2013,CA-2011-115791,19134,OFF-LA-10001074,Round Specialty Laser Printer Labels,East,Consumer,1/18/2013,Second Class,Shipped Early,Pennsylvania,Labels,$0.0K,2,3,20.00%,1,$10 ,$10.15 ,$10.15 ,33.80%,3,974,$30 ,$0.0K,$45 ,$30.07 ,4
Technology,Philadelphia,United States,DL-13315,Delfina Latchford,1/16/2013,CA-2011-115791,19134,TEC-PH-10004614,AT&T 841000 Phone,East,Consumer,1/18/2013,Second Class,Shipped Early,Pennsylvania,Phones,$0.1K,2,3,40.00%,1,($31),($31.05),($31.05),-25.00%,3,972,$124 ,$0.2K,$186 ,$124.20 ,4
Office Supplies,Springfield,United States,DW-13195,David Wiener,1/18/2013,CA-2011-123477,97477,OFF-AP-10000692,Fellowes Mighty 8 Compact Surge Protector,West,Corporate,1/21/2013,Second Class,Shipped On Time,Oregon,Appliances,$0.1K,3,3,20.00%,1,$6 ,$6.49 ,$6.49 ,10.00%,4,5365,$65 ,$0.1K,$97 ,$64.86 ,6
Furniture,Scottsdale,United States,TS-21340,Toby Swindell,1/19/2013,CA-2011-146591,85254,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,Consumer,1/20/2013,First Class,Shipped On Time,Arizona,Bookcases,$0.2K,1,1,70.00%,1,($321),($320.60),($320.60),-176.70%,5,5466,$181 ,$0.3K,$272 ,$181.47 ,7
Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,1/19/2013,CA-2011-146591,85254,OFF-BI-10003676,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Consumer,1/20/2013,First Class,Shipped On Time,Arizona,Binders,$0.0K,1,1,70.00%,1,($24),($23.72),($23.72),-73.30%,10,5463,$32 ,$0.0K,$48 ,$32.34 ,15
Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,1/19/2013,CA-2011-146591,85254,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",West,Consumer,1/20/2013,First Class,Shipped On Time,Arizona,Envelopes,$0.1K,1,1,20.00%,1,$37 ,$36.69 ,$36.69 ,33.80%,5,5465,$109 ,$0.2K,$163 ,$108.72 ,7
Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,1/19/2013,CA-2011-146591,85254,OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",West,Consumer,1/20/2013,First Class,Shipped On Time,Arizona,Paper,$0.1K,1,1,20.00%,1,$20 ,$19.62 ,$19.62 ,35.00%,4,5464,$56 ,$0.1K,$84 ,$56.06 ,6
Furniture,Los Angeles,United States,MV-17485,Mark Van Huff,1/20/2013,CA-2011-148614,90049,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,Consumer,1/25/2013,Standard Class,Shipped Early,California,Furnishings,$0.0K,5,6,0.00%,1,$6 ,$5.79 ,$5.79 ,30.00%,2,5738,$19 ,$0.0K,$29 ,$19.30 ,3
Office Supplies,Los Angeles,United States,MV-17485,Mark Van Huff,1/20/2013,CA-2011-148614,90049,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",West,Consumer,1/25/2013,Standard Class,Shipped Early,California,Paper,$0.0K,5,6,0.00%,1,$9 ,$9.29 ,$9.29 ,48.00%,2,5737,$19 ,$0.0K,$29 ,$19.36 ,3
Furniture,Westland,United States,XP-21865,Xylona Preis,1/20/2013,CA-2011-167927,48185,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,Consumer,1/26/2013,Standard Class,Shipped On Time,Michigan,Furnishings,$0.3K,6,6,0.00%,1,$30 ,$30.02 ,$30.02 ,11.00%,3,6328,$273 ,$0.4K,$409 ,$272.94 ,4
Furniture,Westland,United States,XP-21865,Xylona Preis,1/20/2013,CA-2011-167927,48185,FUR-FU-10002268,Ultra Door Push Plate,Central,Consumer,1/26/2013,Standard Class,Shipped On Time,Michigan,Furnishings,$0.0K,6,6,0.00%,1,$5 ,$4.86 ,$4.86 ,33.00%,3,6333,$15 ,$0.0K,$22 ,$14.73 ,4
Furniture,Jonesboro,United States,HL-15040,Hunter Lopez,1/20/2013,US-2011-147627,72401,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,Consumer,1/26/2013,Standard Class,Shipped On Time,Arkansas,Chairs,$1.1K,6,6,0.00%,1,$224 ,$224.27 ,$224.27 ,21.00%,3,1127,"$1,068 ",$1.6K,"$1,599 ","$1,067.94 ",4
Furniture,Jonesboro,United States,HL-15040,Hunter Lopez,1/20/2013,US-2011-147627,72401,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,Consumer,1/26/2013,Standard Class,Shipped On Time,Arkansas,Furnishings,$0.0K,6,6,0.00%,1,$12 ,$11.58 ,$11.58 ,30.00%,4,1124,$39 ,$0.1K,$58 ,$38.60 ,6
Office Supplies,Westland,United States,XP-21865,Xylona Preis,1/20/2013,CA-2011-167927,48185,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Consumer,1/26/2013,Standard Class,Shipped On Time,Michigan,Appliances,$0.2K,6,6,10.00%,1,$94 ,$93.58 ,$93.58 ,37.80%,4,6330,$248 ,$0.4K,$371 ,$247.72 ,6
Office Supplies,Westland,United States,XP-21865,Xylona Preis,1/20/2013,CA-2011-167927,48185,OFF-AR-10004456,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,Consumer,1/26/2013,Standard Class,Shipped On Time,Michigan,Art,$0.0K,6,6,0.00%,1,$13 ,$12.74 ,$12.74 ,29.00%,3,6332,$44 ,$0.1K,$66 ,$43.92 ,4
Office Supplies,Westland,United States,XP-21865,Xylona Preis,1/20/2013,CA-2011-167927,48185,OFF-BI-10000605,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Central,Consumer,1/26/2013,Standard Class,Shipped On Time,Michigan,Binders,$0.0K,6,6,0.00%,1,$9 ,$8.95 ,$8.95 ,47.00%,5,6329,$19 ,$0.0K,$29 ,$19.05 ,7
Office Supplies,Westland,United States,XP-21865,Xylona Preis,1/20/2013,CA-2011-167927,48185,OFF-BI-10004364,Storex Dura Pro Binders,Central,Consumer,1/26/2013,Standard Class,Shipped On Time,Michigan,Binders,$0.0K,6,6,0.00%,1,$13 ,$13.37 ,$13.37 ,45.00%,5,6334,$30 ,$0.0K,$44 ,$29.70 ,7
Office Supplies,Westland,United States,XP-21865,Xylona Preis,1/20/2013,CA-2011-167927,48185,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Central,Consumer,1/26/2013,Standard Class,Shipped On Time,Michigan,Storage,$0.0K,6,6,0.00%,1,$4 ,$4.05 ,$4.05 ,29.00%,1,6327,$14 ,$0.0K,$21 ,$13.98 ,1
Office Supplies,Westland,United States,XP-21865,Xylona Preis,1/20/2013,CA-2011-167927,48185,OFF-ST-10003123,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Central,Consumer,1/26/2013,Standard Class,Shipped On Time,Michigan,Storage,$0.1K,6,6,0.00%,1,$16 ,$15.98 ,$15.98 ,24.00%,2,6331,$67 ,$0.1K,$100 ,$66.58 ,3
Office Supplies,Jonesboro,United States,HL-15040,Hunter Lopez,1/20/2013,US-2011-147627,72401,OFF-AR-10003811,Newell 327,South,Consumer,1/26/2013,Standard Class,Shipped On Time,Arkansas,Art,$0.0K,6,6,0.00%,1,$2 ,$1.79 ,$1.79 ,27.00%,3,1125,$7 ,$0.0K,$10 ,$6.63 ,4
Office Supplies,Jonesboro,United States,HL-15040,Hunter Lopez,1/20/2013,US-2011-147627,72401,OFF-AR-10002375,Newell 351,South,Consumer,1/26/2013,Standard Class,Shipped On Time,Arkansas,Art,$0.0K,6,6,0.00%,1,$7 ,$6.66 ,$6.66 ,29.00%,7,1123,$23 ,$0.0K,$34 ,$22.96 ,10
Office Supplies,Jonesboro,United States,HL-15040,Hunter Lopez,1/20/2013,US-2011-147627,72401,OFF-EN-10001539,Staple envelope,South,Consumer,1/26/2013,Standard Class,Shipped On Time,Arkansas,Envelopes,$0.0K,6,6,0.00%,1,$11 ,$10.97 ,$10.97 ,47.00%,3,1126,$23 ,$0.0K,$35 ,$23.34 ,4
Office Supplies,Smyrna,United States,MM-18280,Muhammed MacIntyre,1/20/2013,US-2011-147774,37167,OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,South,Corporate,1/26/2013,Standard Class,Shipped On Time,Tennessee,Binders,$0.1K,6,6,70.00%,1,($52),($51.52),($51.52),-76.70%,1,7121,$67 ,$0.1K,$101 ,$67.19 ,1
Technology,Jonesboro,United States,HL-15040,Hunter Lopez,1/20/2013,US-2011-147627,72401,TEC-PH-10001061,Apple iPhone 5C,South,Consumer,1/26/2013,Standard Class,Shipped On Time,Arkansas,Phones,$0.7K,6,6,0.00%,1,$182 ,$181.98 ,$181.98 ,26.00%,7,1122,$700 ,$1.0K,"$1,048 ",$699.93 ,10
Furniture,Miami,United States,TB-21400,Tom Boeckenhauer,1/21/2013,CA-2011-110422,33180,FUR-FU-10001889,Ultra Door Pull Handle,South,Consumer,1/23/2013,Second Class,Shipped Early,Florida,Furnishings,$0.0K,2,3,20.00%,1,$4 ,$4.10 ,$4.10 ,16.30%,3,9990,$25 ,$0.0K,$38 ,$25.25 ,4
Office Supplies,Lafayette,United States,SG-20605,Speros Goranitis,1/23/2013,CA-2011-146997,47905,OFF-FA-10003467,"Alliance Big Bands Rubber Bands, 12/Pack",Central,Consumer,1/27/2013,Standard Class,Shipped Early,Indiana,Fasteners,$0.0K,4,6,0.00%,1,$0 ,$0.00 ,$0.00 ,0.00%,3,9887,$6 ,$0.0K,$9 ,$5.94 ,4
Office Supplies,Las Vegas,United States,IM-15055,Ionia McGrath,1/23/2013,CA-2011-102645,89115,OFF-PA-10001804,Xerox 195,West,Consumer,1/28/2013,Standard Class,Shipped Early,Nevada,Paper,$0.0K,5,6,0.00%,1,$19 ,$19.24 ,$19.24 ,48.00%,6,9156,$40 ,$0.1K,$60 ,$40.08 ,9
Furniture,Rapid City,United States,CA-11965,Carol Adams,1/26/2013,CA-2011-167997,57701,FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,Corporate,1/29/2013,First Class,Shipped Late,South Dakota,Bookcases,$0.1K,3,1,0.00%,1,$40 ,$39.75 ,$39.75 ,28.00%,2,8151,$142 ,$0.2K,$213 ,$141.96 ,3
Office Supplies,Rapid City,United States,CA-11965,Carol Adams,1/26/2013,CA-2011-167997,57701,OFF-BI-10001758,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,Corporate,1/29/2013,First Class,Shipped Late,South Dakota,Binders,$0.0K,3,1,0.00%,1,$5 ,$5.02 ,$5.02 ,47.00%,2,8150,$11 ,$0.0K,$16 ,$10.68 ,3
Furniture,Alexandria,United States,SD-20485,Shirley Daniels,1/26/2013,US-2011-155502,22304,FUR-FU-10001847,Eldon Image Series Black Desk Accessories,South,Home Office,1/31/2013,Standard Class,Shipped Early,Virginia,Furnishings,$0.0K,5,6,0.00%,1,$4 ,$4.47 ,$4.47 ,36.00%,3,2584,$12 ,$0.0K,$19 ,$12.42 ,4
Furniture,Alexandria,United States,SD-20485,Shirley Daniels,1/26/2013,US-2011-155502,22304,FUR-FU-10004587,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",South,Home Office,1/31/2013,Standard Class,Shipped Early,Virginia,Furnishings,$0.1K,5,6,0.00%,1,$31 ,$30.78 ,$30.78 ,49.00%,3,2579,$63 ,$0.1K,$94 ,$62.82 ,4
Office Supplies,Alexandria,United States,SD-20485,Shirley Daniels,1/26/2013,US-2011-155502,22304,OFF-PA-10003072,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",South,Home Office,1/31/2013,Standard Class,Shipped Early,Virginia,Paper,$0.0K,5,6,0.00%,1,$9 ,$9.33 ,$9.33 ,48.00%,3,2581,$19 ,$0.0K,$29 ,$19.44 ,4
Office Supplies,Alexandria,United States,SD-20485,Shirley Daniels,1/26/2013,US-2011-155502,22304,OFF-PA-10000380,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",South,Home Office,1/31/2013,Standard Class,Shipped Early,Virginia,Paper,$0.0K,5,6,0.00%,1,$8 ,$8.34 ,$8.34 ,50.00%,2,2582,$17 ,$0.0K,$25 ,$16.68 ,3
Office Supplies,Alexandria,United States,SD-20485,Shirley Daniels,1/26/2013,US-2011-155502,22304,OFF-ST-10004337,"SAFCO Commercial Wire Shelving, 72h",South,Home Office,1/31/2013,Standard Class,Shipped Early,Virginia,Storage,$0.5K,5,6,0.00%,1,$0 ,$0.00 ,$0.00 ,0.00%,8,2580,$490 ,$0.7K,$734 ,$489.92 ,12
Technology,Alexandria,United States,SD-20485,Shirley Daniels,1/26/2013,US-2011-155502,22304,TEC-PH-10002103,Jabra SPEAK 410,South,Home Office,1/31/2013,Standard Class,Shipped Early,Virginia,Phones,$0.2K,5,6,0.00%,1,$53 ,$52.63 ,$52.63 ,28.00%,2,2585,$188 ,$0.3K,$282 ,$187.98 ,3
Technology,Alexandria,United States,SD-20485,Shirley Daniels,1/26/2013,US-2011-155502,22304,TEC-PH-10004833,Macally Suction Cup Mount,South,Home Office,1/31/2013,Standard Class,Shipped Early,Virginia,Phones,$0.2K,5,6,0.00%,1,$0 ,$0.00 ,$0.00 ,0.00%,13,2583,$155 ,$0.2K,$233 ,$155.35 ,19
